feature,class_label
"[-8.3680878e+01  2.6311314e+01 -7.9015663e+01  4.6299503e+01
 -1.2003396e+01  1.4714404e+01  3.4571927e+00 -1.2692671e+01
  9.8257313e+00 -2.6429968e+00  1.7004668e+00  1.0246826e+01
 -5.5179162e+00  8.3141732e-01 -3.2654696e+00  1.5652667e+01
 -2.1873000e+00 -6.3521795e+00  3.7958322e+00  8.5928249e-01
 -3.2944353e+00 -3.7535515e-01  1.8125543e-01  1.8047466e+00
 -6.9788198e+00  3.6718166e+00  1.9624809e+00 -2.1136931e-01
 -3.0774364e-01  3.4672400e-01 -3.6148891e-01  2.0915008e+00
 -7.9255020e-03 -4.6407270e+00  2.5198870e+00  1.5238277e+00
 -4.1270652e+00  2.2418461e+00 -4.4506001e+00  2.4620836e+00]",0
"[-74.71897     22.267672   -61.00465     27.437773    -1.5999068
  20.709227    -0.5097623   -9.620773    11.122308    -4.3020015
   3.2596862    8.762488    -4.1313057    4.4581347   -5.6365113
  11.206663     2.7578194   -9.203349     2.2527347    5.488409
  -4.103703    -2.083177     2.6843605    2.7188847   -7.0414953
   4.24959     -3.5360653   -1.2872586    3.3679538   -1.3500097
  -1.9827031    3.2588825   -1.7354625    0.37002584  -0.63045716
  -0.17461011  -0.72199744  -2.082161    -2.8432822    4.560087  ]",0
"[-126.9261       31.687614    -81.38346      43.75039     -16.444916
   23.173687      4.670304    -10.61734      16.242834     -8.682751
    4.713422     12.758011     -5.058771      5.8270917    -9.318188
   16.027937      4.3762903   -10.69146       1.9872051     6.8556514
   -5.6337547    -0.9004143     0.27876347    6.771161    -10.157074
    2.4492342     2.613993     -2.4116282     5.0114236    -1.3655467
   -4.39253       3.6361105     0.5590484    -4.044953      2.4656768
   -0.5198852    -2.5802927    -0.24316381   -3.4930053     3.286606  ]",0
"[-37.641487    7.18103   -80.98079    36.80572   -29.40063    19.805805
  10.549195  -18.782652   18.722824  -10.172523    1.0890403  16.547747
  -4.945731    3.047677   -5.4086094  14.744604    4.43271   -13.285111
   5.327557    5.920124   -6.2239456   1.9271667   1.71523     2.1922345
  -4.8565087   2.0201364   3.3121114  -1.9470061   5.989288   -1.3512218
  -5.7257576   3.9335504   0.6917351  -6.0879626   3.6457357  -0.7091286
  -3.7388477   1.0611836  -2.1906996   2.0257618]",0
"[-59.809784    15.620472   -70.8205      42.858433    -6.893393
  11.906358     3.2525222  -12.047663     8.824077    -2.2478523
   1.6352283    8.852711    -4.746057    -0.86993515  -2.3963466
  14.2728      -2.5297034   -7.408505     4.0079308    1.7315001
  -2.5220354    0.51366717   1.1071079    1.620193    -5.9695916
   2.9536884    2.702476    -1.5534905   -1.335975     0.693282
  -1.7791544    1.9834149    0.20957604  -5.351361     2.8056831
   1.2823578   -3.1207662    2.0887334   -4.996056     3.740511  ]",0
"[-1.39297226e+02  3.73284531e+01 -8.34544525e+01  6.15969048e+01
 -2.66266479e+01  3.52222404e+01  8.73217773e+00 -1.24152975e+01
  2.51999550e+01 -1.48886776e+01  6.52645350e+00  1.39041328e+01
 -9.74264908e+00  1.17939014e+01 -1.74690380e+01  1.96927071e+01
  4.23473883e+00 -1.29405870e+01 -2.33795762e+00  1.11128054e+01
 -7.10086679e+00 -7.98857510e-01 -1.56282210e+00  9.52085495e+00
 -1.62330399e+01  2.45769811e+00  7.24930286e-01 -8.32288837e+00
  9.35787868e+00 -5.57485485e+00 -3.44322753e+00  2.00451803e+00
 -1.06656480e+00 -5.01039457e+00 -2.60522604e-01 -3.60790229e+00
  1.01022214e-01 -2.93979073e+00 -4.17980480e+00  6.14040077e-01]",0
"[-54.840237    -2.4721625  -71.38536     41.85589    -33.120197
  20.210875    15.599061   -21.69564     22.908043    -8.540854
  -0.23201433  16.927092    -4.475371     2.907391    -4.3439465
  13.068695     3.9799151  -13.204557     5.06268      5.827395
  -5.5272965    2.2698836    0.9491429    2.590219    -5.497557
   0.32615688   3.2980115   -4.094424     6.110563     0.42735583
  -5.432762     4.1246166    0.99222314  -6.5711536    3.4495463
  -1.1840111   -3.0957766    1.860911    -1.5790912    1.4860772 ]",0
"[-2.1700403e+02  5.4595116e+01 -8.5842300e+01  7.1308983e+01
 -1.7822386e+01  2.9030554e+01  7.7517791e+00 -1.3091425e+01
  1.3828023e+01 -3.3084950e+00  1.6387506e+00  1.5582402e+01
 -7.7194204e+00  5.0138612e+00 -5.7768826e+00  2.1813564e+01
 -2.9962442e+00 -6.9206915e+00  3.3800578e+00  1.5552499e+00
 -3.3862536e+00  2.0828400e+00 -7.3014444e-01  3.8611357e+00
 -1.0192191e+01  5.1834407e+00 -1.7832730e+00 -2.4633384e-01
  8.3031543e-02 -6.9062197e-01 -3.9544764e-01  1.4308347e+00
  1.9432415e-01 -4.3830266e+00  9.4280887e-01  2.6942370e+00
 -5.0232530e+00  2.4170270e+00 -6.1375213e+00  2.3061357e+00]",0
"[  7.0376005   -3.516305   -64.16351     17.490253   -14.87374
  19.849056     4.8114676  -17.557854    14.690651    -8.720954
   0.58155686  12.647158    -4.43765      3.4838645   -3.129169
   9.931046     4.5145607  -13.020912     3.5747073    4.9970374
  -5.593893     0.12851685   3.6158895    0.24135284  -3.849617
   4.054679    -3.8340516   -1.4793296    7.268075    -2.6930614
  -1.2519579    3.3626962   -1.6369122    0.22180751  -0.6674254
  -2.2364244   -0.59970033  -1.8922522   -1.6151214    2.9536526 ]",0
"[-19.642242    21.279427   -59.59628     32.85121     -7.2449026
  11.86137     -1.1696334   -5.6774883    4.5300136    0.46094042
  -0.5875045    8.974651    -4.268642     2.1510637   -2.6844754
  12.985013    -3.4734962   -3.521638     0.85254514   3.3385592
  -4.6644974    0.71779716   0.5746903    0.93642396  -5.062852
   4.105239    -3.3932798    1.3298774   -0.9435315    2.02802
  -0.7195552    1.1851716   -0.7101479   -0.88245356  -1.1386731
   1.8517677   -4.084218     1.5478926   -4.211922     3.1171694 ]",0
"[-38.831364     6.3697753  -57.996838    23.976032    -4.6816072
  17.079708     0.4662531   -9.568659     8.942076    -8.666984
   1.9881105   10.207432    -3.5766098    4.9017243   -8.113004
  10.322461     5.3578024  -12.365444     1.3490885    8.695593
  -4.3121505   -3.2596655    2.658883     5.455538    -7.9162335
   3.0897937   -1.6876026   -0.9687101    4.3815193   -0.7248266
  -4.012256     6.0811577   -0.97916436  -0.49739066  -0.910243
   0.39151084  -0.23444211   0.25801802  -3.1044402    4.2973557 ]",0
"[ 22.554125   -10.619608   -50.955082    19.603336   -13.163625
  13.326848     8.302033   -15.286058    10.190493    -5.3773026
  -2.8095093   12.77044     -3.6929116   -0.2561083   -2.2239823
   7.91207      3.3972754  -12.290053     2.1722229    7.3068843
  -7.151407     0.12597926   2.5717077    0.8150041   -3.0400229
   1.7882247   -1.4257873   -1.9652879    3.9730644    1.4202425
  -4.9893236    4.677394     0.3221758   -3.2612426    0.77945846
  -0.1576564   -2.7827013    1.4690795   -1.6549839    2.5580823 ]",0
"[-5.0321678e+01  3.0144766e+01 -6.6274742e+01  3.8395741e+01
 -9.7274055e+00  1.5534619e+01  2.1339996e+00 -7.4531178e+00
  6.4516072e+00 -4.7312295e-01  4.0931176e-02  1.0952899e+01
 -4.7918205e+00  2.4506245e+00 -3.4957952e+00  1.4750031e+01
 -3.5682206e+00 -5.9631324e+00  8.3600426e-01  2.8118644e+00
 -4.4451551e+00 -1.5006870e-02  8.9697963e-01  1.4514595e+00
 -5.4979124e+00  5.6055574e+00 -4.2133327e+00  1.6423861e+00
  3.2493848e-01  7.2142220e-01  2.8195369e-01  1.1325811e+00
 -6.4010881e-02 -1.2863696e-01 -1.7811303e+00  2.1708581e+00
 -4.3611426e+00  1.4705269e+00 -4.7947073e+00  2.6416609e+00]",0
"[-71.90869     18.729244   -59.625313    28.291395    -2.5082479
  16.54611      1.4465673   -9.101169     8.1387005   -5.3144383
   2.1485994    9.799359    -3.2425277    2.6526659   -7.0042806
  11.795098     2.9209692  -10.472642     2.3570218    5.999996
  -4.582861    -2.2836988    1.1703647    3.388111    -6.0946975
   2.3236651   -2.9118025   -1.1168085    3.5568714    1.1031281
  -2.9030027    3.379625    -0.16784503  -0.8386981   -0.11816315
   0.26102856  -2.1016078    0.17654726  -3.4037516    2.8608007 ]",0
